公司名称,股票代码,发布日期,开始日期,截止日期,营业总收入(元),营业收入(元),营业总成本(元),营业成本(元),营业税金及附加(元),销售费用(元),管理费用(元),堪探费用,财务费用(元),资产减值损失(元),公允价值变动收益(元),投资收益(元),对联营企业和合营企业的投资收益(元),汇兑收益(元),其他业务收入(元),营业利润(元),补贴收入,营业外收入(元),营业外支出(元),非流动资产处置净损失(元),影响利润总额的其他科目,利润总额(元),所得税费用,影响净利润的其他科目,净利润(元),归属于母公司股东的净利润(元),少数股东损益(元),每股收益EPS(元),基本每股收益(元),稀释每股收益(元),其他综合收益(元),综合收益总额(元),归属于母公司所有者的综合收益总额(元),归属于少数股东的综合收益总额(元),利息净收入(元),已赚保费(元),手续费及佣金净收入(元),利息支出(元),手续费及佣金支出(元),退保金(元),赔付支出净额(元),提取保险合同准备金净额(元),保单红利支出(元),分保费用(元),非流动资产处置利得,其他收益,研发费用,资产处置收益,持续经营净利润,终止经营净利润,信用减值损失,净敞口套期收益,财务费用-利息费用,财务费用-利息收入
平安银行股份有限公司,000001.XSHE,2024-03-15,2022-01-01,2022-12-31,179895000000.0,179895000000.0,122420000000.0,,1727000000.0,,49387000000.0,,,-35000000.0,1240000000.0,13243000000.0,,4548000000.0,131000000.0,57475000000.0,,64000000.0,286000000.0,,,57253000000.0,11737000000.0,,45516000000.0,45516000000.0,,,2.2,2.2,990000000.0,46506000000.0,46506000000.0,,130130000000.0,,30208000000.0,,,,0.0,0.0,,0.0,,215000000.0,,180000000.0,45516000000.0,,71341000000.0,,,
平安银行股份有限公司,000001.XSHE,2024-04-20,2023-01-01,2023-03-31,45098000000.0,45098000000.0,26729000000.0,,458000000.0,,11807000000.0,,,15000000.0,54000000.0,3303000000.0,,315000000.0,253000000.0,18369000000.0,,11000000.0,13000000.0,,,18367000000.0,3765000000.0,,14602000000.0,14602000000.0,0.0,,0.65,0.65,-448000000.0,14154000000.0,14154000000.0,0.0,32115000000.0,,8878000000.0,,,,0.0,0.0,,0.0,,173000000.0,,7000000.0,14602000000.0,0.0,14449000000.0,,,
平安银行股份有限公司,000001.XSHE,2024-08-16,2023-01-01,2023-06-30,88610000000.0,88610000000.0,56673000000.0,,874000000.0,,23438000000.0,,,39000000.0,1015000000.0,7287000000.0,,700000000.0,339000000.0,31937000000.0,,22000000.0,26000000.0,,,31933000000.0,6546000000.0,,25387000000.0,25387000000.0,,,1.2,1.2,-375000000.0,25012000000.0,25012000000.0,,62634000000.0,,16374000000.0,,,,0.0,0.0,,0.0,,194000000.0,,67000000.0,25387000000.0,,32322000000.0,,,
平安银行股份有限公司,000001.XSHE,2024-10-19,2023-01-01,2023-09-30,127634000000.0,127634000000.0,78587000000.0,,1285000000.0,,33888000000.0,,,88000000.0,565000000.0,11266000000.0,,782000000.0,442000000.0,49047000000.0,,31000000.0,85000000.0,,,48993000000.0,9358000000.0,,39635000000.0,39635000000.0,0.0,,1.94,1.94,-838000000.0,38797000000.0,38797000000.0,,91355000000.0,,22950000000.0,,,,0.0,0.0,,0.0,,211000000.0,,63000000.0,39635000000.0,,43326000000.0,,,
平安银行股份有限公司,000001.XSHE,2025-03-15,2023-01-01,2023-12-31,164699000000.0,164699000000.0,106771000000.0,,1718000000.0,,45959000000.0,,,77000000.0,-354000000.0,16054000000.0,,662000000.0,538000000.0,57928000000.0,,49000000.0,259000000.0,,,57718000000.0,11263000000.0,,46455000000.0,46455000000.0,,,2.25,2.25,-372000000.0,46083000000.0,,,117991000000.0,,29430000000.0,,,,0.0,0.0,,0.0,,234000000.0,,144000000.0,46455000000.0,,59017000000.0,,,
平安银行股份有限公司,000001.XSHE,2025-04-19,2024-01-01,2024-03-31,38770000000.0,38770000000.0,20216000000.0,,390000000.0,,10430000000.0,,,1000000.0,1572000000.0,4702000000.0,,7000000.0,87000000.0,18554000000.0,,12000000.0,41000000.0,,,18525000000.0,3593000000.0,,14932000000.0,14932000000.0,,,0.66,0.66,345000000.0,15277000000.0,15277000000.0,,25157000000.0,,7181000000.0,,,,0.0,0.0,,0.0,,61000000.0,,3000000.0,14932000000.0,,9395000000.0,,,
平安银行股份有限公司,000001.XSHE,2024-08-16,2024-01-01,2024-06-30,77132000000.0,77132000000.0,45045000000.0,,783000000.0,,21109000000.0,,,2000000.0,2424000000.0,12239000000.0,,56000000.0,192000000.0,32087000000.0,,20000000.0,130000000.0,,,31977000000.0,6098000000.0,,25879000000.0,25879000000.0,,,1.23,1.23,-356000000.0,25523000000.0,25523000000.0,,49086000000.0,,12997000000.0,,,,0.0,0.0,,0.0,,115000000.0,,23000000.0,25879000000.0,,23151000000.0,,,
平安银行股份有限公司,000001.XSHE,2024-10-19,2024-01-01,2024-09-30,111582000000.0,111582000000.0,63713000000.0,,1123000000.0,,30576000000.0,,,1000000.0,1431000000.0,18372000000.0,,111000000.0,289000000.0,47869000000.0,,26000000.0,151000000.0,,,47744000000.0,8015000000.0,,39729000000.0,39729000000.0,,,1.94,1.94,-786000000.0,38943000000.0,38943000000.0,,72536000000.0,,18711000000.0,,,,0.0,0.0,,0.0,,133000000.0,,-1000000.0,39729000000.0,,32013000000.0,,,
平安银行股份有限公司,000001.XSHE,2025-03-15,2024-01-01,2024-12-31,146695000000.0,146695000000.0,91489000000.0,,1479000000.0,,40582000000.0,,,489000000.0,3104000000.0,24604000000.0,,880000000.0,382000000.0,55206000000.0,,37000000.0,505000000.0,,,54738000000.0,10230000000.0,,44508000000.0,44508000000.0,,,2.15,2.15,-374000000.0,44134000000.0,,,93427000000.0,,24112000000.0,,,,0.0,0.0,,0.0,,178000000.0,,8000000.0,44508000000.0,,48939000000.0,,,
平安银行股份有限公司,000001.XSHE,2025-04-19,2025-01-01,2025-03-31,33709000000.0,33709000000.0,16799000000.0,,314000000.0,,9055000000.0,,,,-3080000000.0,6770000000.0,,404000000.0,126000000.0,16910000000.0,,20000000.0,47000000.0,,,16883000000.0,2787000000.0,,14096000000.0,14096000000.0,,,0.62,0.62,-798000000.0,13298000000.0,13298000000.0,,22788000000.0,,6593000000.0,,,,0.0,0.0,,0.0,,43000000.0,,65000000.0,14096000000.0,,7430000000.0,,,
