公司名称,股票主证券代码,发布日期,开始日期,截止日期,销售商品、提供劳务收到的现金,收到的税费返还,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,经营活动现金流出小计,经营活动现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,投资活动现金流出小计,投资活动现金流量净额,吸收投资收到的现金,取得借款收到的现金,发行债券收到的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,筹资活动现金流出小计,筹资活动现金流量净额,汇率变动对现金的影响,其他原因对现金的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,期末现金及现金等价物余额,净利润,资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,经营活动现金流量净额_间接法,债务转为资本,一年内到期的可转换公司债券,融资租入固定资产,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,其他原因对现金的影响_间接法,现金及现金等价物净增加额_间接法,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置以公允价值计量且其变动计入当期损益的金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,子公司吸收少数股东投资收到的现金,子公司支付给少数股东的股利、利润,投资性房地产的折旧及摊销,信用减值损失(现金流量表补充科目)
平安银行股份有限公司,000001.XSHE,2024-03-15,2022-01-01,2022-12-31,,,771751000000.0,,21741000000.0,27713000000.0,637179000000.0,134572000000.0,491914000000.0,38427000000.0,291000000.0,,530632000000.0,3543000000.0,509231000000.0,,,512774000000.0,17858000000.0,,,679189000000.0,679189000000.0,825906000000.0,7274000000.0,840594000000.0,-161405000000.0,6079000000.0,,-2896000000.0,225222000000.0,222326000000.0,45516000000.0,-35000000.0,1933000000.0,732000000.0,711000000.0,-101000000.0,,3579000000.0,,-34211000000.0,-4648000000.0,,,-463015000000.0,490377000000.0,,134572000000.0,,,,4162000000.0,3685000000.0,218164000000.0,221537000000.0,,-2896000000.0,411157000000.0,43317000000.0,,,,,,248891000000.0,14710000000.0,,332903000000.0,21405000000.0,,74373000000.0,,,,24000000.0,71341000000.0
平安银行股份有限公司,000001.XSHE,2024-04-20,2023-01-01,2023-03-31,0.0,,357721000000.0,,9246000000.0,4652000000.0,248565000000.0,109156000000.0,91756000000.0,8284000000.0,130000000.0,,100170000000.0,394000000.0,92751000000.0,,,93145000000.0,7025000000.0,0.0,0.0,163457000000.0,163457000000.0,208121000000.0,2029000000.0,211550000000.0,-48093000000.0,-779000000.0,,67309000000.0,222326000000.0,289635000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,207838000000.0,0.0,0.0,,,,36267000000.0,66183000000.0,0.0,,128555000000.0,0.0,,19466000000.0,,,,,
平安银行股份有限公司,000001.XSHE,2024-08-16,2023-01-01,2023-06-30,,,343193000000.0,,13632000000.0,21207000000.0,298952000000.0,44241000000.0,210727000000.0,19069000000.0,95000000.0,,229891000000.0,949000000.0,190233000000.0,,,191182000000.0,38709000000.0,,,472827000000.0,472827000000.0,469473000000.0,7560000000.0,481391000000.0,-8564000000.0,3351000000.0,,77737000000.0,222326000000.0,300063000000.0,25387000000.0,39000000.0,967000000.0,369000000.0,337000000.0,-8000000.0,,-11946000000.0,,-18018000000.0,856000000.0,,,-142916000000.0,147209000000.0,,44241000000.0,,,,3502000000.0,4162000000.0,296561000000.0,218164000000.0,,77737000000.0,141724000000.0,,,,,,24377000000.0,130802000000.0,,,149176000000.0,,,37952000000.0,,,,9000000.0,32322000000.0
平安银行股份有限公司,000001.XSHE,2024-10-19,2023-01-01,2023-09-30,0.0,,439590000000.0,,18115000000.0,26113000000.0,323660000000.0,115930000000.0,313439000000.0,27943000000.0,146000000.0,,341528000000.0,2173000000.0,289326000000.0,,,291499000000.0,50029000000.0,0.0,0.0,648989000000.0,648989000000.0,727434000000.0,7560000000.0,740012000000.0,-91023000000.0,3453000000.0,,78389000000.0,222326000000.0,300715000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,142173000000.0,62227000000.0,,,,,14218000000.0,192773000000.0,0.0,0.0,156072000000.0,383000000.0,,58498000000.0,,,,,
平安银行股份有限公司,000001.XSHE,2025-03-15,2023-01-01,2023-12-31,,,529035000000.0,,22346000000.0,32000000000.0,436574000000.0,92461000000.0,402105000000.0,38401000000.0,219000000.0,,440725000000.0,3096000000.0,463771000000.0,,,466867000000.0,-26142000000.0,,,933416000000.0,933416000000.0,908807000000.0,8380000000.0,925327000000.0,8089000000.0,1485000000.0,,75893000000.0,222326000000.0,298219000000.0,46455000000.0,77000000.0,1879000000.0,789000000.0,746000000.0,-7000000.0,,-10729000000.0,,-37302000000.0,-1536000000.0,,,-177434000000.0,190778000000.0,,92461000000.0,,,,3687000000.0,4162000000.0,294532000000.0,218164000000.0,,75893000000.0,142603000000.0,16665000000.0,,,,,44363000000.0,251564000000.0,,44673000000.0,163664000000.0,,,81298000000.0,,,,18000000.0,59017000000.0
平安银行股份有限公司,000001.XSHE,2025-04-19,2024-01-01,2024-03-31,,,221752000000.0,,8251000000.0,3837000000.0,243134000000.0,-21382000000.0,115917000000.0,7709000000.0,17000000.0,,123643000000.0,241000000.0,115091000000.0,,,115332000000.0,8311000000.0,,,294764000000.0,294764000000.0,268539000000.0,2029000000.0,271963000000.0,22801000000.0,923000000.0,,10653000000.0,298219000000.0,308872000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,79797000000.0,,,,,,,59601000000.0,9400000000.0,6980000000.0,98651000000.0,,,19900000000.0,,,,,
平安银行股份有限公司,000001.XSHE,2024-08-16,2024-01-01,2024-06-30,,,508784000000.0,,11997000000.0,12207000000.0,395062000000.0,113722000000.0,274831000000.0,19185000000.0,81000000.0,,294097000000.0,631000000.0,265373000000.0,,,266004000000.0,28093000000.0,,,452944000000.0,452944000000.0,579663000000.0,15982000000.0,599825000000.0,-146881000000.0,1032000000.0,,-4034000000.0,298219000000.0,294185000000.0,25879000000.0,2000000.0,822000000.0,397000000.0,304000000.0,-1000000.0,,-7155000000.0,,-19116000000.0,3412000000.0,,,-207272000000.0,282854000000.0,,113722000000.0,,,,3339000000.0,3687000000.0,290846000000.0,294532000000.0,,-4034000000.0,254637000000.0,,,,,,,115675000000.0,10000000.0,,50631000000.0,,,45760000000.0,,,,8000000.0,23151000000.0
平安银行股份有限公司,000001.XSHE,2024-10-19,2024-01-01,2024-09-30,0.0,,538547000000.0,,16163000000.0,16609000000.0,401389000000.0,137158000000.0,436288000000.0,27420000000.0,187000000.0,,463895000000.0,1121000000.0,473313000000.0,,,474434000000.0,-10539000000.0,0.0,0.0,513040000000.0,513040000000.0,637761000000.0,15982000000.0,658572000000.0,-145532000000.0,-594000000.0,,-19507000000.0,298219000000.0,278712000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,135723000000.0,0.0,,,,,,168926000000.0,30544000000.0,,43347000000.0,0.0,,61894000000.0,,,,,
平安银行股份有限公司,000001.XSHE,2025-03-15,2024-01-01,2024-12-31,,,530807000000.0,,20152000000.0,23827000000.0,467471000000.0,63336000000.0,609720000000.0,36812000000.0,345000000.0,,646877000000.0,2388000000.0,676348000000.0,,,678736000000.0,-31859000000.0,,,733997000000.0,733997000000.0,778465000000.0,21576000000.0,807930000000.0,-73933000000.0,1183000000.0,,-41273000000.0,298219000000.0,256946000000.0,44508000000.0,489000000.0,1591000000.0,814000000.0,609000000.0,32000000.0,,-6184000000.0,,-36707000000.0,-6507000000.0,,,-202985000000.0,199898000000.0,,63336000000.0,,,,3421000000.0,3687000000.0,253525000000.0,294532000000.0,,-41273000000.0,94486000000.0,,,,,,,218979000000.0,6602000000.0,72924000000.0,56129000000.0,,,84014000000.0,,,,15000000.0,48939000000.0
平安银行股份有限公司,000001.XSHE,2025-04-19,2025-01-01,2025-03-31,,,416055000000.0,,8044000000.0,5135000000.0,253109000000.0,162946000000.0,243429000000.0,9743000000.0,25000000.0,,253197000000.0,338000000.0,227916000000.0,,,228254000000.0,24943000000.0,,,79667000000.0,79667000000.0,234978000000.0,2029000000.0,238065000000.0,-158398000000.0,-130000000.0,,29361000000.0,256946000000.0,286307000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,206384000000.0,62690000000.0,,,,,90111000000.0,48514000000.0,,,58965000000.0,23574000000.0,,21872000000.0,,,,,
